situationCode,homeTeamDefendingSide,typeDescKey,periodDescriptor.number,details.eventOwnerTeamId,details.xCoord,details.yCoord,details.zoneCode,details.shotType,details.reason
1551,right,shot-on-goal,1,22.0,-77.0,-35.0,D,wrist,
1551,right,shot-on-goal,1,22.0,77.0,11.0,O,wrist,
1551,right,missed-shot,1,22.0,73.0,9.0,O,snap,wide-left
1551,right,blocked-shot,1,23.0,-46.0,-7.0,D,,blocked
1551,right,shot-on-goal,1,22.0,57.0,-28.0,O,wrist,
1551,right,shot-on-goal,1,22.0,85.0,-9.0,O,snap,
1551,right,shot-on-goal,1,23.0,-57.0,29.0,O,wrist,
1551,right,shot-on-goal,1,23.0,-77.0,-20.0,O,wrist,
1541,right,missed-shot,1,22.0,59.0,17.0,O,wrist,high-and-wide-left
1551,right,missed-shot,1,22.0,52.0,-36.0,O,slap,wide-left
1551,right,blocked-shot,1,22.0,84.0,9.0,D,,blocked
1551,right,blocked-shot,1,22.0,71.0,6.0,D,,blocked
1551,right,shot-on-goal,1,22.0,64.0,-4.0,O,snap,
1551,right,goal,1,23.0,-82.0,-3.0,O,backhand,
1551,right,missed-shot,1,23.0,-87.0,16.0,O,backhand,wide-right
1551,right,missed-shot,1,23.0,-80.0,3.0,O,snap,wide-right
1551,right,missed-shot,1,23.0,-64.0,-21.0,O,wrist,wide-left
1551,right,shot-on-goal,1,22.0,67.0,-1.0,O,wrist,
1551,right,missed-shot,1,23.0,-35.0,-35.0,O,wrist,wide-left
1551,right,goal,1,23.0,-66.0,-14.0,O,wrist,
1551,right,blocked-shot,1,22.0,60.0,-10.0,O,,teammate-blocked
1551,right,missed-shot,1,23.0,-77.0,32.0,O,slap,wide-right
1551,right,blocked-shot,1,22.0,69.0,3.0,D,,blocked
1560,right,missed-shot,1,23.0,-38.0,-3.0,O,slap,wide-right
1451,right,blocked-shot,1,23.0,-70.0,4.0,D,,blocked
1451,right,blocked-shot,1,23.0,-72.0,-2.0,D,,blocked
1451,right,shot-on-goal,1,23.0,-72.0,-4.0,O,tip-in,
1451,right,shot-on-goal,1,23.0,-81.0,-3.0,O,tip-in,
1451,right,shot-on-goal,1,23.0,-73.0,-1.0,O,wrist,
1551,right,blocked-shot,1,23.0,-76.0,4.0,D,,blocked
1551,right,blocked-shot,1,23.0,-81.0,3.0,O,,teammate-blocked
1551,right,shot-on-goal,1,23.0,-53.0,28.0,O,slap,
1551,right,shot-on-goal,1,23.0,-79.0,6.0,O,backhand,
